utterances,intent
I'd like proof of a secure chat,General_Security_Assurance
How safe is my data?,General_Security_Assurance
How is my credit card info secured?,General_Security_Assurance
How do I know this chat is not a scam?,General_Security_Assurance
How do I know if my card info is kept safe?,General_Security_Assurance
Do you have protection against hacks?,General_Security_Assurance
Customer info secured?,General_Security_Assurance
Conversation secure?,General_Security_Assurance
Can I be sure that my stored card details are held securely?,General_Security_Assurance
Are you safe on hackers?,General_Security_Assurance
Are you safe?,General_Security_Assurance
Tell me a joke,joke
Please tell me a joke,joke
how can you make me smile ?,joke
how can you make me laugh,joke
I need a smile on my face,joke
tell me a Chuk Norris joke,joke
tell me santa banta joke,joke
I want to hear a joke,joke
say me a joke,joke
Make me laugh,joke
make me happy,joke
Entertain me,joke
what's the latest news,latest_news
what's going on in the news ?,latest_news
search for the latest news,latest_news
tell me the news headlines,latest_news
What is in the news headlines ?,latest_news
please tell me the current news headlines,latest_news
Can you tell me the news headlines ?,latest_news
Please tell me the latest news,latest_news
tell me the latest news,latest_news
Search for game rules,search
what does LOL sounds for ?,search
Search on Google for prepositions,search
what's the meaing of IoT ?,search
Search on Google for serendipity meaning,search
tell me the meaning of FIFO,search
what do you mean by ecstacy ?,search
what do you mean by ILETS,search
what does TOEFL sounds for ?,search
what is the full form of ROFL ?,search
what is the full form of SNOW ?,search
what's the meaning of God ?,search
What's the meaning of life ?,search
Can you help me understand science,search
How does plants grow,search
search for Newton's first law,search
What are the weather conditions in Chandigarh ?,weather
How is the weather in London ?,weather
How is the weather in New Delhi ?,weather
Please tell me the weather outside.,weather
How hot it is outside ?,weather
Is it cold outside ?,weather
How cold is it outside ?,weather
Is it raining outside ?,weather
Is it hot outside ?,weather
How's the weather outside ?,weather
Can you tell me the status of weather outside ?,weather
how is the weather in New Delhi,weather
Tell me the weather conditions for today,weather
how is the weather condition for tomorrow,weather
how is the weather status for next monday,weather
is it going to be hot on Sunday,weather
is it going to be very cold tonight,weather
turn on the living room tube light,appliance_action
switch off the tv in hall,appliance_action
switch on the fan of my bedroom,appliance_action
switch off the cooler of my room,appliance_action
turn on the tv in my room,appliance_action
turn off the ac of my room,appliance_action
